class,text
fish,a koi in the pool has golden scales.
fish,"eel is less eatable, less delcious!"
fish,pike swim out to sea.
fish,the fish swim upstream!
fish,"sea creatures, these are slimy water animals."
fish,fresh swordfish is delicious!
fish,pike swim out to sea?
fish,the salmon swim upstream.
bird,this is a duck in the air?
bird,chicken is delicious!
bird,peacocks are beautiful.
bird,birds have feathers.
bird,our nests have eggs in them!
bird,fossils in amber have shown protofeathers in nonavian species
mammal,shaggy dog?
mammal,dog with brown fur
mammal,deer with hooves
mammal,buffalo stampede
mammal,furry creature!
mammal,mammals feed their young with milk.
mammal,bear in the forest.
mammal,cow in the field?
mammal,furry creature.
mammal,mammals feed their young with milk?
mammal,bear in the forest
mammal,cow in the field
fish,this animal is a halibut in the water.
fish,trout is delicious!
fish,carp swim out to sea.
fish,the salmon swim upstream!
bird,this is a duck in the air.
bird,"chicken, when roasted, is delicious!"
bird,peacocks are beautiful?
bird,we have feathers!
bird,emu stampedes are dangerous!
mammal,hairy beast?
mammal,furry animals feed their young with milk.
mammal,a bear in the forest!
mammal,cow in the field
not_animal,I am a person.
not_animal,hello!
not_animal,this is a sentence.
not_animal,???
not_animal,colon:awesome
not_animal,nobody knows
not_animal,rocks are not edible.
not_animal,a tree grows in the forest.
not_animal,apples and _mangoes_ are delicious!
not_animal,mountains are for roaming.
not_animal,pittsburgh pennsylvania
not_animal,new delhi is relatively near to the taj mahal.
not_animal,backpacks contain many objects!
not_animal,horrible terrible robots
not_animal,doors tables and windows
not_animal,laptops and thermonuclear weapons.
not_animal,archibald was a vacuum salesman.
not_animal,nice to meet you.
not_animal,she was fluid in her grace.
not_animal,aribtirary words in a sentence.
not_animal,"politics, gender, and identity"
not_animal,midas had a golden touch.
mammal,moose are large hulking beasts!
mammal,furry chinchillas are nice pets
mammal,"hair grows on most mammals, and gets in the milk."
mammal,milk is the stuff of mother cows and other creatures with fur.
mammal,"bears eat fish, berries, and honey."
mammal,"wolf packs hunt together, for food and to stay warm."
mammal,"mouse bones are found within owl stomachs, and hairballs."
fish,salmon are a favorite food of cats.
fish,trout are large freshwater swimmers.
fish,bass have big mouths and are favored by fishermen on the sea.
fish,eel is found in sushi and can be electric.
fish,manta rays are a kind of ocean animal.
fish,koi are a kind of goldfish in Japan.
fish,swordfish have blue scales and long pointy noses and live in the water.
bird,"emu are dinosaurs, and so are all birds."
bird,"chicken are dinosaurs but smaller, and lay eggs."
bird,kite are small birds of prey and attack other animals in flight!
bird,feathers keep birds warm and help them in flight!
bird,wing design makes some birds fly differently.
bird,most avians hatch from eggs.
bird,a robin feathering his nest has very little time to rest!
bird,peacock feathers are bright and beautiful displays.
not_animal,computer machines are not alive.
not_animal,cello music is lovely!
not_animal,I love the moun\tains! :-) happy :-P
